c Graph colouring
c
c edges;1,7;1,8;1,9;1,10;1,11;1,12;2,7;2,8;2,9;2,10;2,11;2,12;3,7;3,8;3,9;3,10;3,11;3,12;4,7;4,8;4,9;4,10;4,11;4,12;5,7;5,8;5,9;5,10;5,11;5,12;6,7;6,8;6,9;6,10;6,11;6,12
c n = number of vertices = 12
c m = number of edges = 36
c k = number of colours = 2
c vertex i=0,...,n-1 has colour c=0,...,k-1 if variable i*k+c+1 True
c
c We have nk=24 variables and n+(k^2-k)n/2+mk=96 clauses.
c
p cnf 24 96
1 2 0
3 4 0
5 6 0
7 8 0
9 10 0
11 12 0
13 14 0
15 16 0
17 18 0
19 20 0
21 22 0
23 24 0
-16 -15 0
-10 -9 0
-6 -5 0
-22 -21 0
-4 -3 0
-12 -11 0
-20 -19 0
-8 -7 0
-24 -23 0
-14 -13 0
-18 -17 0
-2 -1 0
-18 -4 0
-17 -7 0
-16 -2 0
-14 -8 0
-18 -8 0
-23 -3 0
-21 -9 0
-17 -3 0
-14 -4 0
-16 -6 0
-24 -4 0
-22 -6 0
-18 -12 0
-19 -1 0
-15 -5 0
-23 -7 0
-19 -11 0
-20 -12 0
-24 -8 0
-22 -2 0
-13 -3 0
-23 -11 0
-19 -7 0
-17 -11 0
-15 -1 0
-24 -12 0
-20 -8 0
-15 -11 0
-13 -7 0
-21 -5 0
-19 -3 0
-16 -12 0
-22 -10 0
-20 -4 0
-13 -11 0
-17 -5 0
-14 -10 0
-21 -1 0
-18 -2 0
-15 -3 0
-14 -6 0
-16 -4 0
-22 -8 0
-24 -2 0
-18 -6 0
-15 -7 0
-21 -11 0
-16 -8 0
-14 -2 0
-20 -10 0
-22 -4 0
-18 -10 0
-24 -6 0
-19 -9 0
-23 -5 0
-17 -9 0
-20 -6 0
-17 -1 0
-24 -10 0
-13 -5 0
-19 -5 0
-21 -3 0
-16 -10 0
-23 -9 0
-23 -1 0
-22 -12 0
-20 -2 0
-15 -9 0
-13 -9 0
-21 -7 0
-14 -12 0
-13 -1 0
